page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
Tax Justice Network,https://mediabiasfactcheck.com/tax-justice-network/,LEFT-CENTER,HIGH,United Kingdom (33/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.taxjustice.net/,taxjustice.net,leftcenter,
Tax Policy Center,https://mediabiasfactcheck.com/tax-policy-center/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.taxpolicycenter.org/,taxpolicycenter.org,leftcenter,
TCPalm – Treasure Coast News,https://mediabiasfactcheck.com/tcpalm-treasure-coast-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.tcpalm.com/,tcpalm.com,leftcenter,MOSTLY FREE
TechCrunch,https://mediabiasfactcheck.com/techcrunch/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://techcrunch.com,techcrunch.com,leftcenter,
Techdirt,https://mediabiasfactcheck.com/techdirt/,,HIGH,USA,,,,https://www.techdirt.com,techdirt.com,leftcenter,
Texas Monthly,https://mediabiasfactcheck.com/texas-monthly/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.texasmonthly.com,texasmonthly.com,leftcenter,
Texas Tribune,https://mediabiasfactcheck.com/texas-tribune/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,High Traffic,HIGH CREDIBILITY,https://www.texastribune.org/,texastribune.org,leftcenter,
The Age,https://mediabiasfactcheck.com/the-age-australia/,LEFT-CENTER,HIGH,Australia,Newspaper,High Traffic,HIGH CREDIBILITY,http://www.theage.com.au/,theage.com.au,leftcenter,MOSTLY FREE
The Asahi Shimbun,https://mediabiasfactcheck.com/the-asahi-shimbun/,,HIGH,Japan,,,,http://www.asahi.com/ajw,asahi.com,leftcenter,
The Asbury Park Press,https://mediabiasfactcheck.com/the-asbury-park-press/,,HIGH,USA,,,,https://www.app.com,app.com,leftcenter,
The Augusta Chronicle,https://mediabiasfactcheck.com/the-augusta-chronicle/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.augustachronicle.com/,augustachronicle.com,leftcenter,
Belfer Center for Science and International Affairs,https://mediabiasfactcheck.com/the-belfer-center-for-science-and-international-affairs/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.belfercenter.org/,belfercenter.org,leftcenter,
The Bipartisan Press,https://mediabiasfactcheck.com/the-bipartisan-press/,,HIGH,USA,,,,https://www.thebipartisanpress.com,thebipartisanpress.com,leftcenter,
The Brownsville Herald,https://mediabiasfactcheck.com/the-brownsville-herald/,,HIGH,USA,,,,https://myrgv.com/,myrgv.com,leftcenter,
The Bureau of Investigative Journalism,https://mediabiasfactcheck.com/the-bureau-of-investigative-journalism/,LEFT-CENTER,HIGH,United Kingdom (35/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.thebureauinvestigates.com/,thebureauinvestigates.com,leftcenter,
The Center for Economic Policy and Research,https://mediabiasfactcheck.com/the-center-for-economic-and-policy-research/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,http://cepr.net,cepr.net,leftcenter,
The Century Foundation,https://mediabiasfactcheck.com/the-century-foundation/,,HIGH,USA,,,,https://tcf.org/,tcf.org,leftcenter,
The China Post,https://mediabiasfactcheck.com/the-china-post/,,MOSTLY FACTUAL,Taiwan,,,,https://chinapost.nownews.com/,nownews.com,leftcenter,
The Christian Left,https://mediabiasfactcheck.com/the-christian-left/,,MIXED,USA,,,,http://www.thechristianleft.org/,thechristianleft.org,leftcenter,
The Chronicle of Higher Education,https://mediabiasfactcheck.com/the-chronicle-of-higher-education/,,HIGH,USA,,,,https://www.chronicle.com/,chronicle.com,leftcenter,
The Citizen,https://mediabiasfactcheck.com/the-citizen/,LEFT-CENTER,HIGH,Australia (26/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.thecitizen.org.au,thecitizen.org.au,leftcenter,
The City,https://mediabiasfactcheck.com/the-city/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://thecity.nyc/,thecity.nyc,leftcenter,
The Coloradoan,https://mediabiasfactcheck.com/the-coloradoan/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.coloradoan.com/,coloradoan.com,leftcenter,
The Colorado Sun,https://mediabiasfactcheck.com/the-colorado-sun/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://coloradosun.com/,coloradosun.com,leftcenter,
The Council of Canadians,https://mediabiasfactcheck.com/the-council-of-canadians/,LEFT-CENTER,HIGH,Canada,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://canadians.org,canadians.org,leftcenter,
The Courier-Journal,https://mediabiasfactcheck.com/the-courier-journal/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.courier-journal.com/,courier-journal.com,leftcenter,
The Daily Citizen,https://mediabiasfactcheck.com/daily-citizen-dalton/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,http://www.daltondailycitizen.com/,daltondailycitizen.com,leftcenter,
The Daily Climate,https://mediabiasfactcheck.com/the-daily-climate/,,HIGH,USA,,,,http://www.dailyclimate.org/,dailyclimate.org,leftcenter,
The Daily Hive,https://mediabiasfactcheck.com/daily-hive/,LEFT-CENTER,MOSTLY FACTUAL,Canada (14/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://dailyhive.com/,dailyhive.com,leftcenter,
The Daily Star,https://mediabiasfactcheck.com/the-daily-star/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.thedailystar.com/,thedailystar.com,leftcenter,
The Daily Tarheel,https://mediabiasfactcheck.com/the-daily-tarheel/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.dailytarheel.com/,dailytarheel.com,leftcenter,
The Day,https://mediabiasfactcheck.com/day-new-london/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.theday.com/,theday.com,leftcenter,
The Dominion Post,https://mediabiasfactcheck.com/the-dominion-post/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dominionpost.com/,dominionpost.com,leftcenter,
The Enterprise,https://mediabiasfactcheck.com/the-enterprise-maryland-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.somdnews.com/enterprise/,somdnews.com,leftcenter,
The European Council on Foreign Relations,https://mediabiasfactcheck.com/european-council-foreign-relations-ecfr/,LEFT-CENTER,HIGH,Germany (13/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://ecfr.eu/,ecfr.eu,leftcenter,
The Express-Times,https://mediabiasfactcheck.com/the-express-times-lehigh-valley/,,HIGH,USA,,,,https://www.lehighvalleylive.com,lehighvalleylive.com,leftcenter,
The Forward,https://mediabiasfactcheck.com/the-forward/,,HIGH,USA,,,,https://forward.com/,forward.com,leftcenter,
The Frontier,https://mediabiasfactcheck.com/frontier-media-bias-credibility-rating/,,HIGH,USA,,,,https://www.readfrontier.org,readfrontier.org,leftcenter,
The Fulcrum,https://mediabiasfactcheck.com/the-fulcrum/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://thefulcrum.us/,thefulcrum.us,leftcenter,MOSTLY FREE
The Garden Island,https://mediabiasfactcheck.com/the-garden-island-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.thegardenisland.com/,thegardenisland.com,leftcenter,
The Glasgow Herald,https://mediabiasfactcheck.com/the-herald-scotland/,LEFT-CENTER,HIGH,United Kingdom,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.heraldscotland.com/,heraldscotland.com,leftcenter,
The Goshen News,https://mediabiasfactcheck.com/the-goshen-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.goshennews.com/,goshennews.com,leftcenter,
The Guardian,https://mediabiasfactcheck.com/the-guardian/,LEFT-CENTER,MIXED,United Kingdom,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.theguardian.com,theguardian.com,leftcenter,MOSTLY FREE
The Hawk Eye,https://mediabiasfactcheck.com/the-hawk-eye-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.thehawkeye.com/,thehawkeye.com,leftcenter,MOSTLY FREE
The Herald,https://mediabiasfactcheck.com/the-herald-everett/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.heraldnet.com/,heraldnet.com,leftcenter,
The Hill Talk,https://mediabiasfactcheck.com/the-hill-talk/,,HIGH,USA,,,,http://thehilltalk.com,thehilltalk.com,leftcenter,
The Hill Times,https://mediabiasfactcheck.com/the-hill-times-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.hilltimes.com/,hilltimes.com,leftcenter,MOSTLY FREE
The Hindu,https://mediabiasfactcheck.com/the-hindu/,,MOSTLY FACTUAL,India,,,,https://www.thehindu.com/,thehindu.com,leftcenter,
The Humanist Magazine,https://mediabiasfactcheck.com/the-humanist-magazine/,,HIGH,USA,,,,https://thehumanist.com/,thehumanist.com,leftcenter,
The Hutchinson News,https://mediabiasfactcheck.com/the-hutchinson-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.hutchnews.com/,hutchnews.com,leftcenter,MOSTLY FREE
The Independent,https://mediabiasfactcheck.com/the-independent/,LEFT-CENTER,MIXED,United Kingdom,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.independent.co.uk/us,independent.co.uk,leftcenter,MOSTLY FREE
The Indian Express,https://mediabiasfactcheck.com/the-indian-express/,LEFT-CENTER,MIXED,India (142/180 Press Freedom),Newspaper,High Traffic,MEDIUM CREDIBILITY,https://indianexpress.com/,indianexpress.com,leftcenter,
The Intercept,https://mediabiasfactcheck.com/the-intercept/,LEFT,MOSTLY FACTUAL,USA (45/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://theintercept.com/,theintercept.com,leftcenter,
The Irish Times,https://mediabiasfactcheck.com/the-irish-times/,LEFT-CENTER,HIGH,Ireland,Newspaper,High Traffic,HIGH CREDIBILITY,http://www.irishtimes.com/,irishtimes.com,leftcenter,EXCELLENT
The Irrawaddy,https://mediabiasfactcheck.com/the-irrawaddy/,LEFT-CENTER,HIGH,Thailand,Website,Medium Traffic,HIGH CREDIBILITY,https://www.irrawaddy.com/,irrawaddy.com,leftcenter,
The Jakarta Post,https://mediabiasfactcheck.com/the-jakarta-post/,,MOSTLY FACTUAL,Indonesia,,,,https://www.thejakartapost.com/,thejakartapost.com,leftcenter,
TheJournal.ie,https://mediabiasfactcheck.com/thejournal-ie/,,HIGH,Ireland,,,,https://www.thejournal.ie/,thejournal.ie,leftcenter,
The Journal News,https://mediabiasfactcheck.com/the-journal-news/,,HIGH,USA,,,,https://www.lohud.com/,lohud.com,leftcenter,
The Korea Times,https://mediabiasfactcheck.com/the-korea-times/,LEFT-CENTER,MOSTLY FACTUAL,South Korea,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.koreatimes.co.kr/,koreatimes.co.kr,leftcenter,
The Lincoln Project,https://mediabiasfactcheck.com/the-lincoln-project/,LEFT-CENTER,MIXED,USA,Organization/Foundation,Medium Traffic,MEDIUM CREDIBILITY,https://lincolnproject.us/,lincolnproject.us,leftcenter,MOSTLY FREE
The List,https://mediabiasfactcheck.com/the-list/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,MEDIUM CREDIBILITY,https://www.thelist.com/,thelist.com,leftcenter,
The Local,https://mediabiasfactcheck.com/the-local-norway/,,HIGH,Norway,,,,https://www.thelocal.no/,thelocal.no,leftcenter,
The Maui News,https://mediabiasfactcheck.com/the-maui-news/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.mauinews.com/,mauinews.com,leftcenter,
The Moderate Voice,https://mediabiasfactcheck.com/the-moderate-voice/,,HIGH,USA,,,,http://themoderatevoice.com/,themoderatevoice.com,leftcenter,
The Motley Fool,https://mediabiasfactcheck.com/the-motley-fool/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.fool.com/,fool.com,leftcenter,
The New Arab,https://mediabiasfactcheck.com/the-new-arab/,LEFT-CENTER,MOSTLY FACTUAL,United Kingdom(33/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.alaraby.co.uk/english,alaraby.co.uk,leftcenter,
The New Tropic,https://mediabiasfactcheck.com/the-new-tropic/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Minimal Traffic,HIGH CREDIBILITY,https://thenewtropic.com,thenewtropic.com,leftcenter,
The News Tribune,https://mediabiasfactcheck.com/the-news-tribune/,,HIGH,USA,,,,https://www.thenewstribune.com/,thenewstribune.com,leftcenter,
The News-Times,https://mediabiasfactcheck.com/the-news-times-danbury/,,HIGH,USA,,,,https://www.newstimes.com/,newstimes.com,leftcenter,
The Next Web,https://mediabiasfactcheck.com/the-next-web/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://thenextweb.com,thenextweb.com,leftcenter,
The Observer,https://mediabiasfactcheck.com/the-observer/,,MIXED,United Kingdom,,,,https://www.theguardian.com/observer,theguardian.com,leftcenter,
The Odyssey Online,https://mediabiasfactcheck.com/the-odyssey-online/,LEFT-CENTER,MIXED,USA (44/180 Press Freedom),website,Medium Traffic,MEDIUM CREDIBILITY,https://www.theodysseyonline.com,theodysseyonline.com,leftcenter,
The Olympian,https://mediabiasfactcheck.com/the-olympian/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.theolympian.com/,theolympian.com,leftcenter,
The Palm Beach Post,https://mediabiasfactcheck.com/the-palm-beach-post/,,HIGH,USA,,,,https://www.palmbeachpost.com,palmbeachpost.com,leftcenter,
The Patriot-News,https://mediabiasfactcheck.com/the-patriot-news/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.pennlive.com/,pennlive.com,leftcenter,
The Plain Dealer,https://mediabiasfactcheck.com/the-plain-dealer/,,HIGH,USA,,,,http://www.cleveland.com/plaindealer/,cleveland.com,leftcenter,
The Press Democrat,https://mediabiasfactcheck.com/the-press-democrat/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.pressdemocrat.com/,pressdemocrat.com,leftcenter,
The Punch,https://mediabiasfactcheck.com/the-punch-nigeria/,LEFT-CENTER,MIXED,Nigeria,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://punchng.com/,punchng.com,leftcenter,
The Quint,https://mediabiasfactcheck.com/the-quint/,LEFT-CENTER,HIGH,India (142/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.thequint.com/,thequint.com,leftcenter,
The Record,https://mediabiasfactcheck.com/the-record-new-jersey/,,HIGH,USA,,,,https://www.northjersey.com/,northjersey.com,leftcenter,
The Ringer,https://mediabiasfactcheck.com/the-ringer/,,HIGH,USA,,,,https://www.theringer.com,theringer.com,leftcenter,
The Santa Fe New Mexican,https://mediabiasfactcheck.com/santa-fe-new-mexican/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,http://www.santafenewmexican.com,santafenewmexican.com,leftcenter,
The Saturday Paper,https://mediabiasfactcheck.com/the-saturday-paper/,LEFT-CENTER,HIGH,Australia (25/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.thesaturdaypaper.com.au/,thesaturdaypaper.com.au,leftcenter,
The Skimm,https://mediabiasfactcheck.com/the-skimm/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,http://www.theskimm.com/,theskimm.com,leftcenter,
The State,https://mediabiasfactcheck.com/the-state/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.thestate.com/,thestate.com,leftcenter,MOSTLY FREE
The State Journal-Register,https://mediabiasfactcheck.com/the-state-journal-register-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.sj-r.com/,sj-r.com,leftcenter,MOSTLY FREE
The State Press,https://mediabiasfactcheck.com/the-state-press-arizona/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.statepress.com,statepress.com,leftcenter,
The Sun Magazine,https://mediabiasfactcheck.com/the-sun-magazine/,,HIGH,USA,,,,http://thesunmagazine.org/,thesunmagazine.org,leftcenter,
The Sydney Morning Herald,https://mediabiasfactcheck.com/the-sydney-morning-herald/,LEFT-CENTER,HIGH,Australia,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.smh.com.au,smh.com.au,leftcenter,MOSTLY FREE
The Tab,https://mediabiasfactcheck.com/the-tab/,LEFT-CENTER,HIGH,United Kingdom (33/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://thetab.com/,thetab.com,leftcenter,
The Trace,https://mediabiasfactcheck.com/the-trace/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.thetrace.org,thetrace.org,leftcenter,
The Tyee,https://mediabiasfactcheck.com/the-tyee/,LEFT-CENTER,HIGH,Canada,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://thetyee.ca/,thetyee.ca,leftcenter,
The Varsity,https://mediabiasfactcheck.com/the-varsity/,LEFT-CENTER,HIGH,Canada (14/180 Press Freedom),Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://thevarsity.ca/,thevarsity.ca,leftcenter,
The Verge,https://mediabiasfactcheck.com/the-verge/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.theverge.com/,theverge.com,leftcenter,
The Virginian-Pilot,https://mediabiasfactcheck.com/the-virginian-pilot/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.pilotonline.com/,pilotonline.com,leftcenter,
The Week UK,https://mediabiasfactcheck.com/the-week-uk/,,HIGH,United Kingdom,,,,https://www.theweek.co.uk,theweek.co.uk,leftcenter,
The Wilderness Society,https://mediabiasfactcheck.com/the-wilderness-society/,,HIGH,,,,,https://www.wilderness.org/,wilderness.org,leftcenter,
The Wire – India,https://mediabiasfactcheck.com/the-wire-india/,,MOSTLY FACTUAL,India,,,,https://thewire.in/,thewire.in,leftcenter,
TheWrap,https://mediabiasfactcheck.com/thewrap/,LEFT-CENTER,MIXED,USA (44/180 Press Freedom),Website,High Traffic,MEDIUM CREDIBILITY,https://www.thewrap.com,thewrap.com,leftcenter,
Thibodaux Daily Comet,https://mediabiasfactcheck.com/thibodaux-daily-comet-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dailycomet.com/,dailycomet.com,leftcenter,MOSTLY FREE
Thomasville Times-Enterprise,https://mediabiasfactcheck.com/thomasville-times-enterprise-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.timesenterprise.com/,timesenterprise.com,leftcenter,
Thomson Reuters Foundation,https://mediabiasfactcheck.com/thomson-reuters-foundation/,LEFT-CENTER,HIGH,United Kingdom,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://trust.org/,trust.org,leftcenter,
Thrillist,https://mediabiasfactcheck.com/thrillist-bias-credibility/,,HIGH,USA,,,,https://www.thrillist.com,thrillist.com,leftcenter,
Tifton Gazette,https://mediabiasfactcheck.com/tifton-gazette-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.tiftongazette.com/,tiftongazette.com,leftcenter,
Time Magazine,https://mediabiasfactcheck.com/time/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Magazine,High Traffic,HIGH CREDIBILITY,https://time.com/,time.com,leftcenter,
Times Colonist,https://mediabiasfactcheck.com/times-colonist/,,HIGH,Canada,,,,https://www.timescolonist.com/,timescolonist.com,leftcenter,
Times Headline,https://mediabiasfactcheck.com/times-headline/,LEFT-CENTER,MIXED,India (142/180 Press Freedom),Website,Minimal Traffic,MEDIUM CREDIBILITY,http://www.timesheadline.com,timesheadline.com,leftcenter,
Times of Israel,https://mediabiasfactcheck.com/times-of-israel/,LEFT-CENTER,HIGH,Israel (88/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,http://www.timesofisrael.com/,timesofisrael.com,leftcenter,
Times-Picayune,https://mediabiasfactcheck.com/the-times-picayune/,,HIGH,USA,,,,https://www.nola.com/,nola.com,leftcenter,
TMZ,https://mediabiasfactcheck.com/tmz/,LEFT-CENTER,MIXED,USA (44/180 Press Freedom),Website,High Traffic,LOW CREDIBILITY,https://www.tmz.com/,tmz.com,leftcenter,
Today.com,https://mediabiasfactcheck.com/today-com/,LEFT-CENTER,MOSTLY FACTUAL,USA,TV Station/Website,High Traffic,HIGH CREDIBILITY,https://www.today.com/,today.com,leftcenter,
Tomdispatch.com,https://mediabiasfactcheck.com/tomdispatch-com/,,HIGH,USA,,,,https://www.tomdispatch.com/,tomdispatch.com,leftcenter,
Topeka Capital-Journal,https://mediabiasfactcheck.com/topeka-capital-journal/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.cjonline.com/,cjonline.com,leftcenter,MOSTLY FREE
Toronto Star,https://mediabiasfactcheck.com/toronto-star/,LEFT-CENTER,HIGH,Canada,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.thestar.com/,thestar.com,leftcenter,MOSTLY FREE
Truth Be Told,https://mediabiasfactcheck.com/truth-be-told/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,http://truthbetold.news/,truthbetold.news,leftcenter,
Tuscaloosa News,https://mediabiasfactcheck.com/tuscaloosa-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.tuscaloosanews.com/,tuscaloosanews.com,leftcenter,
TVA Nouvelles,https://mediabiasfactcheck.com/tva-nouvelles-bias/,LEFT-CENTER,MOSTLY FACTUAL,Canada,TV Station,High Traffic,HIGH CREDIBILITY,https://www.tvanouvelles.ca/,tvanouvelles.ca,leftcenter,
Type Media Center,https://mediabiasfactcheck.com/the-nation-institute/,,HIGH,USA,,,,https://typemediacenter.org/,typemediacenter.org,leftcenter,
UAWire,https://mediabiasfactcheck.com/uawire/,LEFT-CENTER,MIXED,Ukraine,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://uawire.org/,uawire.org,leftcenter,
Undark,https://mediabiasfactcheck.com/undark/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Magazine (digital),Medium Traffic,HIGH CREDIBILITY,https://undark.org,undark.org,leftcenter,
Union of Concerned Scientists,https://mediabiasfactcheck.com/union-of-concerned-scientists/,,MOSTLY FACTUAL,USA,,,,https://www.ucsusa.org,ucsusa.org,leftcenter,
United Federation of Teachers,https://mediabiasfactcheck.com/united-federation-of-teachers-uft/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.uft.org/,uft.org,leftcenter,
United States Citizenship and Immigration Services,https://mediabiasfactcheck.com/united-states-citizenship-and-immigration-services-uscis/,LEFT-CENTER,VERY HIGH,USA,Government Organization,High Traffic,HIGH CREDIBILITY,https://www.uscis.gov/,uscis.gov,leftcenter,
University Business,https://mediabiasfactcheck.com/university-business/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.universitybusiness.com/,universitybusiness.com,leftcenter,
Ukrayinska Pravda,https://mediabiasfactcheck.com/ukrayinska-pravda-the-ukrainian-truth/,LEFT-CENTER,MOSTLY FACTUAL,Ukraine,Website,High Traffic,HIGH CREDIBILITY,https://www.pravda.com.ua/,pravda.com.ua,leftcenter,
Urban Institute,https://mediabiasfactcheck.com/urban-institute/,,HIGH,USA,,,,https://www.urban.org/,urban.org,leftcenter,
USA Today,https://mediabiasfactcheck.com/usa-today-2/,LEFT-CENTER,MOSTLY FACTUAL,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.usatoday.com,usatoday.com,leftcenter,MOSTLY FREE
UsNews and World Report,https://mediabiasfactcheck.com/us-news-world-report/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Magazine,High Traffic,HIGH CREDIBILITY,https://www.usnews.com/,usnews.com,leftcenter,
Utah Public Radio,https://mediabiasfactcheck.com/utah-public-radio-upr/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Radio Station,Minimal Traffic,HIGH CREDIBILITY,https://www.upr.org/,upr.org,leftcenter,
Utica Observer-Dispatch,https://mediabiasfactcheck.com/utica-observer-dispatch/,,HIGH,USA,,,,https://www.uticaod.com,uticaod.com,leftcenter,
UVA – Center for Politics,https://mediabiasfactcheck.com/uva-center-for-politics-bias/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://centerforpolitics.org/,centerforpolitics.org,leftcenter,
Valdosta Daily Times,https://mediabiasfactcheck.com/valdosta-daily-times-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.valdostadailytimes.com/,valdostadailytimes.com,leftcenter,
Variety Magazine,https://mediabiasfactcheck.com/variety-magazine/,LEFT-CENTER,HIGH,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://variety.com/,variety.com,leftcenter,
Ventura County Star,https://mediabiasfactcheck.com/ventura-county-star-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.vcstar.com/,vcstar.com,leftcenter,
Vera Files,https://mediabiasfactcheck.com/vera-files/,LEFT-CENTER,HIGH,Philippines (138/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://verafiles.org/,verafiles.org,leftcenter,
Vibe,https://mediabiasfactcheck.com/vibe/,LEFT-CENTER,MIXED,USA,Website,Medium Traffic,MEDIUM CREDIBILITY,https://www.vibe.com/,vibe.com,leftcenter,MOSTLY FREE
Vice News,https://mediabiasfactcheck.com/vice-news/,LEFT-CENTER,MOSTLY FACTUAL,USA (45/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.vice.com/,vice.com,leftcenter,
Victoria Advocate,https://mediabiasfactcheck.com/victoria-advocate/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.victoriaadvocate.com/,victoriaadvocate.com,leftcenter,
